skill,count,avg_price,max_price,min_price,created_at
COBOL,81,61,95,37,20201121
COBOL,81,61,95,37,20201122
COBOL,81,61,95,37,20201123
COBOL,81,61,95,37,20201124
COBOL,81,61,95,37,20201125
COBOL,83,61,95,37,20201126
COBOL,83,61,95,37,20201127
COBOL,85,61,95,37,20201128
COBOL,85,61,95,37,20201129
COBOL,85,61,95,37,20201130
COBOL,85,61,95,37,20201201
COBOL,85,61,95,37,20201202
COBOL,85,61,95,37,20201203
COBOL,85,61,95,37,20201204
COBOL,85,61,95,37,20201205
COBOL,85,61,95,37,20201206
COBOL,85,61,95,37,20201207
COBOL,85,61,95,37,20201208
COBOL,85,61,95,37,20201209
COBOL,85,61,95,37,20201210
COBOL,85,61,95,37,20201211
COBOL,85,61,95,37,20201212
COBOL,86,61,95,37,20201215
COBOL,87,61,95,37,20201220
COBOL,88,61,95,37,20201225
COBOL,88,61,95,37,20201230
COBOL,88,61,95,37,20210101
