skill,count,avg_price,max_price,min_price,created_at
CSS,650,70,125,35,20201121
CSS,651,70,125,35,20201122
CSS,651,70,125,35,20201123
CSS,651,70,125,35,20201124
CSS,653,70,125,35,20201125
CSS,653,70,125,35,20201126
CSS,657,70,125,35,20201127
CSS,661,70,125,30,20201128
CSS,661,70,125,30,20201129
CSS,661,70,125,30,20201130
CSS,664,70,125,30,20201201
CSS,668,70,125,30,20201202
CSS,673,70,125,30,20201203
CSS,675,70,125,30,20201204
CSS,678,70,125,30,20201205
CSS,678,70,125,30,20201206
CSS,678,70,125,30,20201207
CSS,682,70,125,30,20201208
CSS,685,70,125,30,20201209
CSS,691,70,125,30,20201210
CSS,695,70,125,30,20201211
CSS,695,70,125,30,20201212
CSS,696,70,125,30,20201215
CSS,708,70,125,30,20201220
CSS,715,70,125,30,20201225
CSS,715,70,125,30,20201230
CSS,715,70,125,30,20210101
CSS,717,70,125,30,20210105
CSS,728,70,125,30,20210110
CSS,741,70,125,30,20210115
CSS,745,70,125,30,20210120
CSS,751,70,125,30,20210125
CSS,771,70,125,30,20210209
CSS,774,70,125,30,20210210
CSS,778,70,125,30,20210215
CSS,793,70,125,25,20210220
CSS,794,70,125,25,20210225
CSS,800,70,125,25,20210301
CSS,806,70,125,25,20210305
CSS,816,70,125,25,20210310
CSS,822,70,125,25,20210315
CSS,832,70,125,25,20210320
CSS,846,70,125,25,20210325
CSS,846,70,125,25,20210330
CSS,1399,70,125,25,20210401
CSS,1399,70,125,25,20210405
CSS,1407,70,125,25,20210410
CSS,1411,70,125,25,20210415
CSS,1431,70,125,25,20210503
CSS,1431,70,125,25,20210504
CSS,1431,70,125,25,20210505
CSS,1431,70,125,25,20210506
CSS,1431,70,125,25,20210507
CSS,1431,70,125,25,20210508
CSS,1431,70,125,25,20210509
CSS,1431,70,125,25,20210510
CSS,1431,70,125,25,20210511
CSS,1431,70,125,25,20210512
