skill,count,avg_price,max_price,min_price,created_at
C言語,269,68,115,35,20201121
C言語,269,68,115,35,20201122
C言語,269,68,115,35,20201123
C言語,269,68,115,35,20201124
C言語,270,68,115,35,20201125
C言語,272,68,115,35,20201126
C言語,273,68,115,35,20201127
C言語,276,68,115,35,20201128
C言語,276,68,115,35,20201129
C言語,277,68,115,35,20201130
C言語,277,68,115,35,20201201
C言語,278,68,115,35,20201202
C言語,278,68,115,35,20201203
C言語,278,68,115,35,20201204
C言語,279,68,115,35,20201205
C言語,279,68,115,35,20201206
C言語,279,68,115,35,20201207
C言語,279,68,115,35,20201208
C言語,281,68,115,35,20201209
C言語,281,68,115,35,20201210
C言語,283,68,115,35,20201211
C言語,283,68,115,35,20201212
C言語,283,68,115,35,20201215
C言語,288,68,115,35,20201220
C言語,293,68,115,35,20201225
C言語,293,68,115,35,20201230
C言語,293,68,115,35,20210101
C言語,294,67,115,35,20210105
C言語,297,68,115,35,20210110
C言語,300,67,115,35,20210115
C言語,302,67,115,35,20210120
C言語,306,67,115,35,20210125
C言語,323,67,115,35,20210209
C言語,324,67,115,35,20210210
C言語,326,67,115,35,20210215
C言語,332,67,115,35,20210220
