skill,count,avg_price,max_price,min_price,created_at
Kotlin,270,83,125,45,20201121
Kotlin,270,83,125,45,20201122
Kotlin,270,83,125,45,20201123
Kotlin,270,83,125,45,20201124
Kotlin,270,83,125,45,20201125
Kotlin,270,83,125,45,20201126
Kotlin,272,83,125,45,20201127
Kotlin,276,83,125,45,20201128
Kotlin,276,83,125,45,20201129
Kotlin,277,83,125,45,20201130
Kotlin,279,83,125,45,20201201
Kotlin,279,83,125,45,20201202
Kotlin,281,83,125,45,20201203
Kotlin,281,83,125,45,20201204
Kotlin,283,83,125,45,20201205
Kotlin,283,83,125,45,20201206
Kotlin,283,83,125,45,20201207
Kotlin,285,83,125,45,20201208
Kotlin,286,83,125,45,20201209
Kotlin,287,83,125,45,20201210
Kotlin,289,83,125,45,20201211
Kotlin,291,83,125,45,20201212
Kotlin,291,83,125,45,20201215
Kotlin,302,83,125,45,20201220
Kotlin,308,83,125,45,20201225
Kotlin,308,83,125,45,20201230
Kotlin,308,83,125,45,20210101
Kotlin,309,83,125,45,20210105
Kotlin,318,83,125,45,20210110
Kotlin,323,83,125,45,20210115
Kotlin,325,83,125,45,20210120
Kotlin,329,83,125,45,20210125
Kotlin,350,82,125,42,20210209
Kotlin,350,82,125,42,20210210
Kotlin,355,82,125,42,20210215
Kotlin,364,82,125,42,20210220
Kotlin,365,82,125,42,20210225
