skill,count,avg_price,max_price,min_price,created_at
LESS,9,74,115,55,20201121
LESS,9,74,115,55,20201122
LESS,9,74,115,55,20201123
LESS,9,74,115,55,20201124
LESS,9,74,115,55,20201125
LESS,9,74,115,55,20201126
LESS,9,74,115,55,20201127
LESS,9,74,115,55,20201128
LESS,9,74,115,55,20201129
LESS,9,74,115,55,20201130
LESS,9,74,115,55,20201201
LESS,9,74,115,55,20201202
LESS,9,74,115,55,20201203
LESS,9,74,115,55,20201204
LESS,9,74,115,55,20201205
LESS,9,74,115,55,20201206
LESS,9,74,115,55,20201207
LESS,9,74,115,55,20201208
LESS,9,74,115,55,20201209
LESS,9,74,115,55,20201210
LESS,9,74,115,55,20201211
LESS,9,74,115,55,20201212
LESS,9,74,115,55,20201215
LESS,9,74,115,55,20201220
LESS,9,74,115,55,20201225
LESS,9,74,115,55,20201230
LESS,9,74,115,55,20210101
LESS,9,74,115,55,20210105
LESS,9,74,115,55,20210110
LESS,9,74,115,55,20210115
LESS,9,74,115,55,20210120
LESS,9,74,115,55,20210125
LESS,9,74,115,55,20210209
LESS,9,74,115,55,20210210
LESS,9,74,115,55,20210215
LESS,9,74,115,55,20210220
LESS,9,74,115,55,20210225
LESS,9,74,115,55,20210301
LESS,9,74,115,55,20210305
LESS,9,74,115,55,20210310
LESS,9,74,115,55,20210315
LESS,9,74,115,55,20210320
LESS,9,74,115,55,20210325
LESS,9,74,115,55,20210330
LESS,27,74,115,45,20210401
LESS,27,74,115,45,20210405
LESS,27,74,115,45,20210410
LESS,27,74,115,45,20210415
LESS,27,74,115,45,20210503
LESS,27,74,115,45,20210504
LESS,27,74,115,45,20210505
LESS,27,74,115,45,20210506
LESS,27,74,115,45,20210507
LESS,27,74,115,45,20210508
LESS,27,74,115,45,20210509
LESS,27,74,115,45,20210510
LESS,27,74,115,45,20210511
LESS,27,74,115,45,20210512
LESS,27,74,115,45,20210513
LESS,27,74,115,45,20210514
LESS,27,74,115,45,20210515
LESS,27,74,115,45,20210516
LESS,27,74,115,45,20210517
LESS,27,74,115,45,20210518
LESS,27,74,115,45,20210519
LESS,27,74,115,45,20210520
LESS,27,74,115,45,20210521
LESS,27,74,115,45,20210522
LESS,27,74,115,45,20210523
LESS,27,74,115,45,20210524
LESS,27,74,115,45,20210525
LESS,27,74,115,45,20210526
LESS,27,74,115,45,20210527
LESS,27,74,115,45,20210528
LESS,27,74,115,45,20210529
LESS,27,74,115,45,20210530
LESS,27,74,115,45,20210531
LESS,27,74,115,45,20210602
LESS,27,74,115,45,20210603
LESS,27,74,115,45,20210604
LESS,27,74,115,45,20210605
LESS,27,74,115,45,20210606
LESS,27,74,115,45,20210607
LESS,27,74,115,45,20210608
LESS,27,74,115,45,20210609
LESS,27,74,115,45,20210610
LESS,27,74,115,45,20210611
LESS,27,74,115,45,20210613
LESS,27,74,115,45,20210614
LESS,27,74,115,45,20210615
LESS,27,74,115,45,20210616
LESS,27,74,115,45,20210617
LESS,27,74,115,45,20210618
LESS,27,74,115,45,20210619
LESS,27,74,115,45,20210620
LESS,27,74,115,45,20210621
LESS,27,74,115,45,20210622
LESS,27,74,115,45,20210623
LESS,27,74,115,45,20210624
LESS,27,74,115,45,20210625
LESS,27,74,115,45,20210626
LESS,27,74,115,45,20210627
LESS,27,74,115,45,20210628
LESS,27,74,115,45,20210629
LESS,27,74,115,45,20210630
LESS,27,74,115,45,20210702
LESS,27,74,115,45,20210703
LESS,27,74,115,45,20210704
LESS,27,74,115,45,20210705
LESS,27,74,115,45,20210706
LESS,27,74,115,45,20210707
LESS,27,74,115,45,20210708
LESS,27,74,115,45,20210709
LESS,27,74,115,45,20210710
LESS,27,74,115,45,20210711
LESS,27,74,115,45,20210713
LESS,27,74,115,45,20210714
LESS,27,74,115,45,20210715
LESS,27,74,115,45,20210716
LESS,27,74,115,45,20210717
LESS,27,74,115,45,20210718
LESS,27,74,115,45,20210719
LESS,27,74,115,45,20210720
LESS,27,74,115,45,20210721
LESS,27,74,115,45,20210722
LESS,27,74,115,45,20210723
LESS,27,74,115,45,20210724
LESS,27,74,115,45,20210725
LESS,27,74,115,45,20210726
LESS,27,74,115,45,20210727
LESS,27,74,115,45,20210728
LESS,27,74,115,45,20210729
LESS,27,74,115,45,20210730
LESS,27,74,115,45,20210731
LESS,27,74,115,45,20210802
LESS,27,74,115,45,20210803
LESS,27,74,115,45,20210804
LESS,27,74,115,45,20210805
LESS,27,74,115,45,20210806
LESS,27,74,115,45,20210807
LESS,27,74,115,45,20210808
LESS,27,74,115,45,20210809
LESS,27,74,115,45,20210810
LESS,27,74,115,45,20210812
LESS,27,74,115,45,20210814
LESS,27,74,115,45,20210815
LESS,27,74,115,45,20210816
LESS,27,74,115,45,20210817
LESS,27,74,115,45,20210818
LESS,27,74,115,45,20210819
LESS,27,74,115,45,20210820
LESS,27,74,115,45,20210821
LESS,27,74,115,45,20210822
LESS,27,74,115,45,20210823
LESS,27,74,115,45,20210824
LESS,27,74,115,45,20210825
LESS,27,74,115,45,20210826
LESS,27,74,115,45,20210827
LESS,27,74,115,45,20210828
LESS,27,74,115,45,20210829
LESS,27,74,115,45,20210830
LESS,27,74,115,45,20210831
LESS,27,74,115,45,20210902
LESS,27,74,115,45,20210903
LESS,27,74,115,45,20210904
LESS,27,74,115,45,20210906
LESS,27,74,115,45,20210907
LESS,27,74,115,45,20210908
LESS,27,74,115,45,20210914
LESS,27,74,115,45,20210915
LESS,27,74,115,45,20210916
LESS,27,74,115,45,20210921
LESS,27,74,115,45,20210922
