skill,count,avg_price,max_price,min_price,created_at
Sass,55,71,115,45,20201121
Sass,55,71,115,45,20201122
Sass,55,71,115,45,20201123
Sass,55,71,115,45,20201124
Sass,55,71,115,45,20201125
Sass,56,71,115,45,20201126
Sass,57,71,115,45,20201127
Sass,59,71,115,45,20201128
Sass,59,71,115,45,20201129
Sass,59,71,115,45,20201130
Sass,59,71,115,45,20201201
Sass,60,71,115,45,20201202
Sass,61,72,115,45,20201203
Sass,63,72,115,45,20201204
Sass,63,72,115,45,20201205
Sass,63,72,115,45,20201206
Sass,63,72,115,45,20201207
Sass,65,71,115,45,20201208
Sass,66,72,115,45,20201209
Sass,66,72,115,45,20201210
Sass,66,72,115,45,20201211
Sass,66,72,115,45,20201212
Sass,66,72,115,45,20201215
Sass,67,72,115,45,20201220
Sass,67,72,115,45,20201225
Sass,67,72,115,45,20201230
Sass,67,72,115,45,20210101
Sass,68,72,115,45,20210105
Sass,69,72,115,45,20210110
Sass,69,72,115,45,20210115
Sass,69,72,115,45,20210120
