skill,count,avg_price,max_price,min_price,created_at
Smalltalk,2,75,80,70,20201121
Smalltalk,2,75,80,70,20201122
Smalltalk,2,75,80,70,20201123
Smalltalk,2,75,80,70,20201124
Smalltalk,2,75,80,70,20201125
Smalltalk,2,75,80,70,20201126
Smalltalk,2,75,80,70,20201127
Smalltalk,2,75,80,70,20201128
Smalltalk,2,75,80,70,20201129
Smalltalk,2,75,80,70,20201130
Smalltalk,2,75,80,70,20201201
Smalltalk,2,75,80,70,20201202
Smalltalk,2,75,80,70,20201203
Smalltalk,2,75,80,70,20201204
Smalltalk,2,75,80,70,20201205
Smalltalk,2,75,80,70,20201206
Smalltalk,2,75,80,70,20201207
Smalltalk,2,75,80,70,20201208
Smalltalk,2,75,80,70,20201209
Smalltalk,2,75,80,70,20201210
Smalltalk,2,75,80,70,20201211
Smalltalk,2,75,80,70,20201212
