skill,count,avg_price,max_price,min_price,created_at
VB.NET,284,62,85,40,20201121
VB.NET,284,62,85,40,20201122
VB.NET,284,62,85,40,20201123
VB.NET,284,62,85,40,20201124
VB.NET,286,62,85,40,20201125
VB.NET,286,62,85,40,20201126
VB.NET,290,62,85,40,20201127
VB.NET,296,62,85,40,20201128
VB.NET,296,62,85,40,20201129
VB.NET,296,62,85,40,20201130
VB.NET,297,62,85,40,20201201
VB.NET,297,62,85,40,20201202
VB.NET,302,62,85,40,20201203
VB.NET,303,62,85,40,20201204
VB.NET,300,62,85,40,20201205
VB.NET,300,62,85,40,20201206
VB.NET,300,62,85,40,20201207
VB.NET,301,62,85,40,20201208
VB.NET,302,62,85,40,20201209
VB.NET,306,62,85,40,20201210
VB.NET,307,62,85,40,20201211
VB.NET,311,62,85,40,20201212
VB.NET,312,62,85,40,20201215
VB.NET,330,61,85,40,20201220
VB.NET,333,61,85,40,20201225
VB.NET,335,61,85,40,20201230
VB.NET,335,61,85,40,20210101
VB.NET,336,61,85,40,20210105
VB.NET,348,61,95,40,20210110
VB.NET,351,61,95,40,20210115
VB.NET,356,61,95,40,20210120
VB.NET,359,61,95,40,20210125
VB.NET,372,61,95,40,20210209
VB.NET,373,61,95,40,20210210
VB.NET,374,61,95,40,20210215
VB.NET,379,61,95,40,20210220
VB.NET,380,61,95,40,20210225
VB.NET,389,61,95,40,20210301
VB.NET,394,61,95,40,20210305
VB.NET,399,61,95,40,20210310
VB.NET,403,61,95,40,20210315
VB.NET,413,61,95,40,20210320
VB.NET,416,61,95,40,20210325
VB.NET,421,61,95,40,20210330
VB.NET,595,61,95,40,20210401
VB.NET,596,61,95,40,20210405
VB.NET,598,61,95,40,20210410
VB.NET,600,61,95,40,20210415
VB.NET,608,61,95,40,20210503
VB.NET,608,61,95,40,20210504
VB.NET,608,61,95,40,20210505
VB.NET,608,61,95,40,20210506
VB.NET,608,61,95,40,20210507
VB.NET,609,61,95,40,20210508
VB.NET,609,61,95,40,20210509
VB.NET,609,61,95,40,20210510
VB.NET,613,61,95,40,20210511
VB.NET,614,61,95,40,20210512
VB.NET,614,61,95,40,20210513
VB.NET,614,61,95,40,20210514
VB.NET,614,61,95,40,20210515
VB.NET,614,61,95,40,20210516
VB.NET,614,61,95,40,20210517
VB.NET,614,61,95,40,20210518
VB.NET,615,61,95,40,20210519
VB.NET,616,61,95,40,20210520
VB.NET,616,61,95,40,20210521
VB.NET,616,61,95,40,20210522
VB.NET,616,61,95,40,20210523
VB.NET,616,61,95,40,20210524
VB.NET,616,61,95,40,20210525
VB.NET,616,61,95,40,20210526
VB.NET,616,61,95,40,20210527
VB.NET,616,61,95,40,20210528
VB.NET,616,61,95,40,20210529
VB.NET,616,61,95,40,20210530
VB.NET,616,61,95,40,20210531
VB.NET,617,61,95,40,20210602
VB.NET,617,61,95,40,20210603
