skill,count,avg_price,max_price,min_price,created_at
VBA,165,60,145,30,20201121
VBA,165,60,145,30,20201122
VBA,165,60,145,30,20201123
VBA,165,60,145,30,20201124
VBA,167,60,145,30,20201125
VBA,168,60,145,30,20201126
VBA,169,60,145,30,20201127
VBA,170,60,145,30,20201128
VBA,170,60,145,30,20201129
VBA,170,60,145,30,20201130
VBA,170,60,145,30,20201201
VBA,171,60,145,30,20201202
VBA,171,60,145,30,20201203
VBA,171,60,145,30,20201204
VBA,171,60,145,30,20201205
VBA,171,60,145,30,20201206
VBA,171,60,145,30,20201207
VBA,171,60,145,30,20201208
VBA,171,60,145,30,20201209
VBA,172,60,145,30,20201210
VBA,173,60,145,30,20201211
VBA,173,60,145,30,20201212
VBA,173,60,145,30,20201215
VBA,174,60,145,30,20201220
VBA,175,60,145,30,20201225
VBA,175,60,145,30,20201230
VBA,175,60,145,30,20210101
VBA,175,60,145,30,20210105
VBA,177,60,145,30,20210110
VBA,178,60,145,30,20210115
VBA,178,60,145,30,20210120
VBA,178,60,145,30,20210125
VBA,182,59,145,30,20210209
VBA,183,60,145,30,20210210
VBA,184,59,145,30,20210215
VBA,186,59,145,30,20210220
VBA,188,59,145,30,20210225
VBA,189,59,145,30,20210301
VBA,193,59,145,30,20210305
VBA,193,59,145,30,20210310
VBA,194,59,145,30,20210315
VBA,198,59,145,30,20210320
VBA,198,59,145,30,20210325
VBA,198,59,145,30,20210330
VBA,313,59,145,30,20210401
VBA,313,59,145,30,20210405
VBA,314,59,145,30,20210410
VBA,314,59,145,30,20210415
