skill,count,avg_price,max_price,min_price,created_at
CentOS,157,70,105,40,20201121
CentOS,157,70,105,40,20201122
CentOS,157,70,105,40,20201123
CentOS,157,70,105,40,20201124
CentOS,157,70,105,40,20201125
CentOS,157,70,105,40,20201126
CentOS,159,71,105,40,20201127
CentOS,159,71,105,40,20201128
CentOS,159,71,105,40,20201204
CentOS,159,71,105,40,20201205
CentOS,159,71,105,40,20201206
CentOS,159,71,105,40,20201207
CentOS,159,71,105,40,20201208
CentOS,159,71,105,40,20201209
CentOS,159,71,105,40,20201210
CentOS,159,71,105,40,20201211
CentOS,159,71,105,40,20201212
CentOS,159,71,105,40,20201215
CentOS,160,71,105,40,20201220
CentOS,161,71,105,40,20201225
CentOS,162,71,105,40,20201230
CentOS,162,71,105,40,20210101
CentOS,162,71,105,40,20210105
CentOS,163,71,105,40,20210110
CentOS,164,71,105,40,20210115
CentOS,164,71,105,40,20210120
