skill,count,avg_price,max_price,min_price,created_at
HP-UX,21,62,75,55,20201121
HP-UX,21,62,75,55,20201122
HP-UX,21,62,75,55,20201123
HP-UX,21,62,75,55,20201124
HP-UX,21,62,75,55,20201125
HP-UX,21,62,75,55,20201126
HP-UX,21,62,75,55,20201127
HP-UX,21,62,75,55,20201128
HP-UX,21,62,75,55,20201204
HP-UX,21,62,75,55,20201205
HP-UX,21,62,75,55,20201206
HP-UX,21,62,75,55,20201207
HP-UX,21,62,75,55,20201208
HP-UX,21,62,75,55,20201209
HP-UX,21,62,75,55,20201210
HP-UX,21,62,75,55,20201211
HP-UX,21,62,75,55,20201212
HP-UX,21,62,75,55,20201215
HP-UX,21,62,75,55,20201220
HP-UX,21,62,75,55,20201225
HP-UX,21,62,75,55,20201230
HP-UX,21,62,75,55,20210101
HP-UX,21,62,75,55,20210105
HP-UX,21,62,75,55,20210110
HP-UX,21,62,75,55,20210115
HP-UX,21,62,75,55,20210120
HP-UX,21,62,75,55,20210125
HP-UX,21,62,75,55,20210209
HP-UX,21,62,75,55,20210210
HP-UX,21,62,75,55,20210215
HP-UX,21,62,75,55,20210220
HP-UX,21,62,75,55,20210225
HP-UX,21,62,75,55,20210301
HP-UX,21,62,75,55,20210305
HP-UX,21,62,75,55,20210310
HP-UX,21,62,75,55,20210315
HP-UX,21,62,75,55,20210320
HP-UX,22,62,75,55,20210325
HP-UX,22,62,75,55,20210330
HP-UX,35,62,75,47,20210401
HP-UX,35,62,75,47,20210405
HP-UX,35,62,75,47,20210410
HP-UX,35,62,75,47,20210415
HP-UX,35,62,75,47,20210503
HP-UX,35,62,75,47,20210504
HP-UX,35,62,75,47,20210505
HP-UX,35,62,75,47,20210506
HP-UX,35,62,75,47,20210507
HP-UX,35,62,75,47,20210508
HP-UX,35,62,75,47,20210509
HP-UX,35,62,75,47,20210510
HP-UX,35,62,75,47,20210511
HP-UX,35,62,75,47,20210512
HP-UX,35,62,75,47,20210513
HP-UX,35,62,75,47,20210514
HP-UX,35,62,75,47,20210515
HP-UX,35,62,75,47,20210516
HP-UX,35,62,75,47,20210517
HP-UX,35,62,75,47,20210518
HP-UX,35,62,75,47,20210519
HP-UX,35,62,75,47,20210520
HP-UX,35,62,75,47,20210521
HP-UX,35,62,75,47,20210522
HP-UX,35,62,75,47,20210523
HP-UX,35,62,75,47,20210524
HP-UX,35,62,75,47,20210525
HP-UX,35,62,75,47,20210526
HP-UX,35,62,75,47,20210527
HP-UX,35,62,75,47,20210528
HP-UX,35,62,75,47,20210529
HP-UX,35,62,75,47,20210530
HP-UX,35,62,75,47,20210531
HP-UX,35,62,75,47,20210602
HP-UX,35,62,75,47,20210603
HP-UX,35,62,75,47,20210604
HP-UX,35,62,75,47,20210605
HP-UX,35,62,75,47,20210606
HP-UX,35,62,75,47,20210607
HP-UX,35,62,75,47,20210608
HP-UX,35,62,75,47,20210609
HP-UX,35,62,75,47,20210610
HP-UX,35,62,75,47,20210611
HP-UX,35,62,75,47,20210613
HP-UX,35,62,75,47,20210614
HP-UX,35,62,75,47,20210615
HP-UX,35,62,75,47,20210616
HP-UX,35,62,75,47,20210617
HP-UX,35,62,75,47,20210618
HP-UX,35,62,75,47,20210619
HP-UX,35,62,75,47,20210620
HP-UX,35,62,75,47,20210621
HP-UX,35,62,75,47,20210622
HP-UX,35,62,75,47,20210623
HP-UX,35,62,75,47,20210624
HP-UX,35,62,75,47,20210625
HP-UX,35,62,75,47,20210626
