skill,count,avg_price,max_price,min_price,created_at
Linux,2266,69,135,30,20201121
Linux,2266,69,135,30,20201122
Linux,2266,69,135,30,20201123
Linux,2266,69,135,30,20201124
Linux,2269,69,135,30,20201125
Linux,2277,69,135,30,20201126
Linux,0,69,135,30,20201127
Linux,2288,69,135,30,20201128
Linux,2311,69,135,30,20201204
Linux,2320,69,135,30,20201205
Linux,2320,69,135,30,20201206
Linux,2320,69,135,30,20201207
Linux,2327,69,135,30,20201208
Linux,2334,69,135,30,20201209
Linux,2344,69,135,30,20201210
Linux,2352,69,135,30,20201211
Linux,2354,69,135,30,20201212
Linux,2361,69,135,30,20201215
Linux,2390,69,135,30,20201220
Linux,2410,69,135,30,20201225
Linux,2412,69,135,30,20201230
Linux,2412,69,135,30,20210101
Linux,2413,69,135,30,20210105
Linux,2438,69,135,30,20210110
Linux,2450,69,135,30,20210115
Linux,2465,69,135,30,20210120
Linux,2482,69,135,30,20210125
Linux,2559,69,135,30,20210209
Linux,2566,69,135,30,20210210
Linux,2577,69,135,30,20210215
Linux,2611,69,135,30,20210220
Linux,2622,69,135,30,20210225
Linux,2633,69,135,30,20210301
Linux,2652,69,135,30,20210305
Linux,2675,69,135,30,20210310
Linux,2693,69,135,30,20210315
Linux,2718,69,135,30,20210320
Linux,2730,69,135,30,20210325
Linux,2748,69,135,30,20210330
Linux,0,70,135,20,20210401
Linux,5256,70,135,20,20210405
Linux,5274,70,135,20,20210410
Linux,5285,70,135,20,20210415
Linux,5323,70,135,20,20210503
Linux,5323,70,135,20,20210504
Linux,5323,70,135,20,20210505
Linux,5323,70,135,20,20210506
Linux,5323,70,135,20,20210507
Linux,5326,70,135,20,20210508
Linux,5326,70,135,20,20210509
Linux,5326,70,135,20,20210510
Linux,5329,70,135,20,20210511
Linux,5332,70,135,20,20210512
Linux,5335,70,135,20,20210513
Linux,5342,70,135,20,20210514
Linux,5344,70,135,20,20210515
Linux,5344,70,135,20,20210516
Linux,5344,70,135,20,20210517
Linux,5350,70,135,20,20210518
Linux,5354,70,135,20,20210519
Linux,5356,70,135,20,20210520
Linux,5359,70,135,20,20210521
Linux,5362,70,135,20,20210522
Linux,5362,70,135,20,20210523
Linux,5362,70,135,20,20210524
Linux,5370,70,135,20,20210525
Linux,5377,70,135,20,20210526
Linux,5380,70,135,20,20210527
Linux,5381,70,135,20,20210528
Linux,5381,70,135,20,20210529
Linux,5381,70,135,20,20210530
Linux,5381,70,135,20,20210531
Linux,5391,70,135,20,20210602
Linux,5394,70,135,20,20210603
Linux,5403,70,135,20,20210604
Linux,5404,70,135,20,20210605
Linux,5404,70,135,20,20210606
Linux,5404,70,135,20,20210607
Linux,5411,70,135,20,20210608
Linux,5416,70,135,20,20210609
Linux,5420,70,135,20,20210610
Linux,5430,70,135,20,20210611
Linux,5433,70,135,20,20210613
Linux,5433,70,135,20,20210614
Linux,5438,70,135,20,20210615
