skill,count,avg_price,max_price,min_price,created_at
Unix,236,69,100,40,20201121
Unix,236,69,100,40,20201122
Unix,236,69,100,40,20201123
Unix,236,69,100,40,20201124
Unix,236,69,100,40,20201125
Unix,237,69,100,40,20201126
Unix,237,69,100,40,20201127
Unix,237,69,100,40,20201128
Unix,241,69,100,40,20201204
Unix,242,69,100,40,20201205
Unix,242,69,100,40,20201206
Unix,242,69,100,40,20201207
Unix,242,69,100,40,20201208
Unix,242,69,100,40,20201209
Unix,242,69,100,40,20201210
Unix,245,69,100,40,20201211
Unix,245,69,100,40,20201212
Unix,246,69,100,40,20201215
Unix,249,69,100,40,20201220
Unix,250,69,100,40,20201225
Unix,250,69,100,40,20201230
Unix,250,69,100,40,20210101
Unix,250,69,100,40,20210105
Unix,251,69,100,40,20210110
Unix,251,69,100,40,20210115
Unix,251,69,100,40,20210120
