skill,count,avg_price,max_price,min_price,created_at
Windows,998,63,135,25,20201121
Windows,998,63,135,25,20201122
Windows,998,63,135,25,20201123
Windows,998,63,135,25,20201124
Windows,1000,63,135,25,20201125
Windows,1009,63,135,25,20201126
Windows,1011,63,135,25,20201127
Windows,1015,63,135,25,20201128
Windows,1025,63,135,25,20201204
Windows,1026,63,135,25,20201205
Windows,1026,63,135,25,20201206
Windows,1026,63,135,25,20201207
Windows,1030,63,135,25,20201208
Windows,1034,63,135,25,20201209
Windows,1037,63,135,25,20201210
Windows,1040,63,135,25,20201211
Windows,1039,63,135,25,20201212
Windows,1043,63,135,25,20201215
Windows,1056,63,135,25,20201220
Windows,1061,63,135,25,20201225
Windows,1062,63,135,25,20201230
