skill,count,avg_price,max_price,min_price,created_at
Windows Server,387,62,100,33,20201121
Windows Server,387,62,100,33,20201122
Windows Server,387,62,100,33,20201123
Windows Server,387,62,100,33,20201124
Windows Server,390,62,100,33,20201125
Windows Server,392,62,100,33,20201126
Windows Server,396,62,100,33,20201127
Windows Server,400,62,100,33,20201128
Windows Server,411,62,100,33,20201204
Windows Server,412,62,100,33,20201205
Windows Server,412,62,100,33,20201206
Windows Server,412,62,100,33,20201207
Windows Server,414,62,100,33,20201208
Windows Server,415,62,100,33,20201209
Windows Server,419,62,100,33,20201210
Windows Server,420,62,100,33,20201211
Windows Server,420,62,100,33,20201212
Windows Server,421,62,100,33,20201215
Windows Server,426,62,100,33,20201220
Windows Server,429,62,100,33,20201225
Windows Server,429,62,100,33,20201230
Windows Server,429,62,100,33,20210101
Windows Server,430,62,100,33,20210105
Windows Server,444,62,100,33,20210110
Windows Server,448,62,100,33,20210115
Windows Server,449,62,100,33,20210120
Windows Server,453,62,100,33,20210125
Windows Server,468,61,100,15,20210209
Windows Server,470,61,100,15,20210210
Windows Server,477,61,100,15,20210215
Windows Server,486,61,100,15,20210220
Windows Server,488,61,100,15,20210225
Windows Server,492,61,100,15,20210301
Windows Server,503,61,100,15,20210305
Windows Server,510,62,100,15,20210310
Windows Server,515,62,100,15,20210315
Windows Server,522,62,100,15,20210320
Windows Server,523,61,100,15,20210325
Windows Server,527,62,100,15,20210330
Windows Server,649,62,100,15,20210401
Windows Server,650,62,100,15,20210405
Windows Server,651,62,100,15,20210410
Windows Server,653,62,100,15,20210415
Windows Server,656,62,100,15,20210503
Windows Server,656,62,100,15,20210504
Windows Server,656,62,100,15,20210505
Windows Server,656,62,100,15,20210506
Windows Server,656,62,100,15,20210507
Windows Server,657,62,100,15,20210508
Windows Server,657,62,100,15,20210509
Windows Server,657,62,100,15,20210510
Windows Server,658,62,100,15,20210511
Windows Server,659,62,100,15,20210512
Windows Server,659,62,100,15,20210513
Windows Server,659,62,100,15,20210514
Windows Server,659,62,100,15,20210515
Windows Server,659,62,100,15,20210516
