skill,count,avg_price,max_price,min_price,created_at
iOS,408,77,125,36,20201121
iOS,408,77,125,36,20201122
iOS,408,77,125,36,20201123
iOS,408,77,125,36,20201124
iOS,409,77,125,36,20201125
iOS,410,77,125,36,20201126
iOS,411,77,125,36,20201127
iOS,413,77,125,36,20201128
iOS,421,77,125,36,20201204
iOS,422,77,125,36,20201205
iOS,422,77,125,36,20201206
iOS,422,77,125,36,20201207
iOS,422,77,125,36,20201208
iOS,424,77,125,36,20201209
iOS,424,77,125,36,20201210
iOS,425,77,125,36,20201211
iOS,425,77,125,36,20201212
iOS,425,77,125,36,20201215
iOS,429,77,125,36,20201220
iOS,429,77,125,36,20201225
iOS,429,77,125,36,20201230
iOS,429,77,125,36,20210101
